fixture,variant,active_count,kendall_tau,top5_hit_rate,baseline_size,perturbed_size,baseline_saturated_dp_count,perturbed_saturated_dp_count,baseline_total_abs_magnitude,perturbed_total_abs_magnitude,magnitude_recovery_fraction,mean_abs_magnitude_delta,max_abs_magnitude_delta
01-agent,gain+broken+skipTests+manualIde+length+commitGap,6,1.000000,1.000000,3,3,3,3,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,(none),0,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain,1,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,broken,1,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+broken,2,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,skipTests,1,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+skipTests,2,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,broken+skipTests,2,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+broken+skipTests,3,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,manualIde,1,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+manualIde,2,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,broken+manualIde,2,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+broken+manualIde,3,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,skipTests+manualIde,2,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+skipTests+manualIde,3,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,broken+skipTests+manualIde,3,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+broken+skipTests+manualIde,4,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,length,1,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+length,2,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,broken+length,2,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+broken+length,3,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,skipTests+length,2,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+skipTests+length,3,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,broken+skipTests+length,3,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+broken+skipTests+length,4,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,manualIde+length,2,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+manualIde+length,3,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,broken+manualIde+length,3,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+broken+manualIde+length,4,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,skipTests+manualIde+length,3,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+skipTests+manualIde+length,4,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,broken+skipTests+manualIde+length,4,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+broken+skipTests+manualIde+length,5,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,commitGap,1,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+commitGap,2,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,broken+commitGap,2,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+broken+commitGap,3,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,skipTests+commitGap,2,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+skipTests+commitGap,3,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,broken+skipTests+commitGap,3,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+broken+skipTests+commitGap,4,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,manualIde+commitGap,2,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+manualIde+commitGap,3,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,broken+manualIde+commitGap,3,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+broken+manualIde+commitGap,4,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,skipTests+manualIde+commitGap,3,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+skipTests+manualIde+commitGap,4,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,broken+skipTests+manualIde+commitGap,4,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+broken+skipTests+manualIde+commitGap,5,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,length+commitGap,2,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+length+commitGap,3,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,broken+length+commitGap,3,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+broken+length+commitGap,4,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,skipTests+length+commitGap,3,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+skipTests+length+commitGap,4,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,broken+skipTests+length+commitGap,4,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+broken+skipTests+length+commitGap,5,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,manualIde+length+commitGap,3,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+manualIde+length+commitGap,4,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,broken+manualIde+length+commitGap,4,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+broken+manualIde+length+commitGap,5,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,skipTests+manualIde+length+commitGap,4,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+skipTests+manualIde+length+commitGap,5,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,broken+skipTests+manualIde+length+commitGap,5,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
02-agent,gain+broken+skipTests+manualIde+length+commitGap,6,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
03-agent,(none),0,-0.333333,1.000000,3,3,0,0,7.000000,0.000000,0.000000,2.333333,6.000000
03-agent,gain,1,-0.333333,1.000000,3,3,0,0,7.000000,0.000000,0.000000,2.333333,6.000000
03-agent,broken,1,1.000000,1.000000,3,3,0,0,7.000000,8.000000,1.142857,1.000000,2.000000
03-agent,gain+broken,2,1.000000,1.000000,3,3,0,0,7.000000,8.000000,1.142857,1.000000,2.000000
03-agent,skipTests,1,-0.333333,1.000000,3,3,0,0,7.000000,0.000000,0.000000,2.333333,6.000000
03-agent,gain+skipTests,2,-0.333333,1.000000,3,3,0,0,7.000000,0.000000,0.000000,2.333333,6.000000
03-agent,broken+skipTests,2,1.000000,1.000000,3,3,0,0,7.000000,8.000000,1.142857,1.000000,2.000000
03-agent,gain+broken+skipTests,3,1.000000,1.000000,3,3,0,0,7.000000,8.000000,1.142857,1.000000,2.000000
03-agent,manualIde,1,-0.333333,1.000000,3,3,0,0,7.000000,3.000000,0.428571,2.666667,8.000000
03-agent,gain+manualIde,2,-0.333333,1.000000,3,3,0,0,7.000000,3.000000,0.428571,2.666667,8.000000
03-agent,broken+manualIde,2,1.000000,1.000000,3,3,0,0,7.000000,7.000000,1.000000,0.000000,0.000000
03-agent,gain+broken+manualIde,3,1.000000,1.000000,3,3,0,0,7.000000,7.000000,1.000000,0.000000,0.000000
03-agent,skipTests+manualIde,2,-0.333333,1.000000,3,3,0,0,7.000000,3.000000,0.428571,2.666667,8.000000
03-agent,gain+skipTests+manualIde,3,-0.333333,1.000000,3,3,0,0,7.000000,3.000000,0.428571,2.666667,8.000000
03-agent,broken+skipTests+manualIde,3,1.000000,1.000000,3,3,0,0,7.000000,7.000000,1.000000,0.000000,0.000000
03-agent,gain+broken+skipTests+manualIde,4,1.000000,1.000000,3,3,0,0,7.000000,7.000000,1.000000,0.000000,0.000000
03-agent,length,1,-0.333333,1.000000,3,3,0,0,7.000000,0.000000,0.000000,2.333333,6.000000
03-agent,gain+length,2,-0.333333,1.000000,3,3,0,0,7.000000,0.000000,0.000000,2.333333,6.000000
03-agent,broken+length,2,1.000000,1.000000,3,3,0,0,7.000000,8.000000,1.142857,1.000000,2.000000
03-agent,gain+broken+length,3,1.000000,1.000000,3,3,0,0,7.000000,8.000000,1.142857,1.000000,2.000000
03-agent,skipTests+length,2,-0.333333,1.000000,3,3,0,0,7.000000,0.000000,0.000000,2.333333,6.000000
03-agent,gain+skipTests+length,3,-0.333333,1.000000,3,3,0,0,7.000000,0.000000,0.000000,2.333333,6.000000
03-agent,broken+skipTests+length,3,1.000000,1.000000,3,3,0,0,7.000000,8.000000,1.142857,1.000000,2.000000
03-agent,gain+broken+skipTests+length,4,1.000000,1.000000,3,3,0,0,7.000000,8.000000,1.142857,1.000000,2.000000
03-agent,manualIde+length,2,-0.333333,1.000000,3,3,0,0,7.000000,3.000000,0.428571,2.666667,8.000000
03-agent,gain+manualIde+length,3,-0.333333,1.000000,3,3,0,0,7.000000,3.000000,0.428571,2.666667,8.000000
03-agent,broken+manualIde+length,3,1.000000,1.000000,3,3,0,0,7.000000,7.000000,1.000000,0.000000,0.000000
03-agent,gain+broken+manualIde+length,4,1.000000,1.000000,3,3,0,0,7.000000,7.000000,1.000000,0.000000,0.000000
03-agent,skipTests+manualIde+length,3,-0.333333,1.000000,3,3,0,0,7.000000,3.000000,0.428571,2.666667,8.000000
03-agent,gain+skipTests+manualIde+length,4,-0.333333,1.000000,3,3,0,0,7.000000,3.000000,0.428571,2.666667,8.000000
03-agent,broken+skipTests+manualIde+length,4,1.000000,1.000000,3,3,0,0,7.000000,7.000000,1.000000,0.000000,0.000000
03-agent,gain+broken+skipTests+manualIde+length,5,1.000000,1.000000,3,3,0,0,7.000000,7.000000,1.000000,0.000000,0.000000
03-agent,commitGap,1,-0.333333,1.000000,3,3,0,0,7.000000,0.000000,0.000000,2.333333,6.000000
03-agent,gain+commitGap,2,-0.333333,1.000000,3,3,0,0,7.000000,0.000000,0.000000,2.333333,6.000000
03-agent,broken+commitGap,2,1.000000,1.000000,3,3,0,0,7.000000,8.000000,1.142857,1.000000,2.000000
03-agent,gain+broken+commitGap,3,1.000000,1.000000,3,3,0,0,7.000000,8.000000,1.142857,1.000000,2.000000
03-agent,skipTests+commitGap,2,-0.333333,1.000000,3,3,0,0,7.000000,0.000000,0.000000,2.333333,6.000000
03-agent,gain+skipTests+commitGap,3,-0.333333,1.000000,3,3,0,0,7.000000,0.000000,0.000000,2.333333,6.000000
03-agent,broken+skipTests+commitGap,3,1.000000,1.000000,3,3,0,0,7.000000,8.000000,1.142857,1.000000,2.000000
03-agent,gain+broken+skipTests+commitGap,4,1.000000,1.000000,3,3,0,0,7.000000,8.000000,1.142857,1.000000,2.000000
03-agent,manualIde+commitGap,2,-0.333333,1.000000,3,3,0,0,7.000000,3.000000,0.428571,2.666667,8.000000
03-agent,gain+manualIde+commitGap,3,-0.333333,1.000000,3,3,0,0,7.000000,3.000000,0.428571,2.666667,8.000000
03-agent,broken+manualIde+commitGap,3,1.000000,1.000000,3,3,0,0,7.000000,7.000000,1.000000,0.000000,0.000000
03-agent,gain+broken+manualIde+commitGap,4,1.000000,1.000000,3,3,0,0,7.000000,7.000000,1.000000,0.000000,0.000000
03-agent,skipTests+manualIde+commitGap,3,-0.333333,1.000000,3,3,0,0,7.000000,3.000000,0.428571,2.666667,8.000000
03-agent,gain+skipTests+manualIde+commitGap,4,-0.333333,1.000000,3,3,0,0,7.000000,3.000000,0.428571,2.666667,8.000000
03-agent,broken+skipTests+manualIde+commitGap,4,1.000000,1.000000,3,3,0,0,7.000000,7.000000,1.000000,0.000000,0.000000
03-agent,gain+broken+skipTests+manualIde+commitGap,5,1.000000,1.000000,3,3,0,0,7.000000,7.000000,1.000000,0.000000,0.000000
03-agent,length+commitGap,2,-0.333333,1.000000,3,3,0,0,7.000000,0.000000,0.000000,2.333333,6.000000
03-agent,gain+length+commitGap,3,-0.333333,1.000000,3,3,0,0,7.000000,0.000000,0.000000,2.333333,6.000000
03-agent,broken+length+commitGap,3,1.000000,1.000000,3,3,0,0,7.000000,8.000000,1.142857,1.000000,2.000000
03-agent,gain+broken+length+commitGap,4,1.000000,1.000000,3,3,0,0,7.000000,8.000000,1.142857,1.000000,2.000000
03-agent,skipTests+length+commitGap,3,-0.333333,1.000000,3,3,0,0,7.000000,0.000000,0.000000,2.333333,6.000000
03-agent,gain+skipTests+length+commitGap,4,-0.333333,1.000000,3,3,0,0,7.000000,0.000000,0.000000,2.333333,6.000000
03-agent,broken+skipTests+length+commitGap,4,1.000000,1.000000,3,3,0,0,7.000000,8.000000,1.142857,1.000000,2.000000
03-agent,gain+broken+skipTests+length+commitGap,5,1.000000,1.000000,3,3,0,0,7.000000,8.000000,1.142857,1.000000,2.000000
03-agent,manualIde+length+commitGap,3,-0.333333,1.000000,3,3,0,0,7.000000,3.000000,0.428571,2.666667,8.000000
03-agent,gain+manualIde+length+commitGap,4,-0.333333,1.000000,3,3,0,0,7.000000,3.000000,0.428571,2.666667,8.000000
03-agent,broken+manualIde+length+commitGap,4,1.000000,1.000000,3,3,0,0,7.000000,7.000000,1.000000,0.000000,0.000000
03-agent,gain+broken+manualIde+length+commitGap,5,1.000000,1.000000,3,3,0,0,7.000000,7.000000,1.000000,0.000000,0.000000
03-agent,skipTests+manualIde+length+commitGap,4,-0.333333,1.000000,3,3,0,0,7.000000,3.000000,0.428571,2.666667,8.000000
03-agent,gain+skipTests+manualIde+length+commitGap,5,-0.333333,1.000000,3,3,0,0,7.000000,3.000000,0.428571,2.666667,8.000000
03-agent,broken+skipTests+manualIde+length+commitGap,5,1.000000,1.000000,3,3,0,0,7.000000,7.000000,1.000000,0.000000,0.000000
03-agent,gain+broken+skipTests+manualIde+length+commitGap,6,1.000000,1.000000,3,3,0,0,7.000000,7.000000,1.000000,0.000000,0.000000
04-agent,(none),0,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
04-agent,gain,1,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
04-agent,broken,1,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
04-agent,gain+broken,2,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
04-agent,skipTests,1,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
04-agent,gain+skipTests,2,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
04-agent,broken+skipTests,2,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
04-agent,gain+broken+skipTests,3,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
04-agent,manualIde,1,1.000000,1.000000,0,0,0,0,0.000000,0.000000,1.000000,0.000000,0.000000
